Subset Code,Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,UBERON Code,UBERON Preferred Term,UBERON Synonyms(s),UBERON Definition
C198975,UBERON Terminology,C12263,Duodenum,A jointed tube 25-30 cm long that connects the stomach to the jejunum.,UBERON:0002114,duodenum,,"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
C198975,UBERON Terminology,C12394,Ear,"A sense organ needed for the detection of sound and for establishing balance. The outer ear consists of the auricle, the ear canal as well as the tympanic membrane. The middle ear is made up of an air-filled cavity behind the tympanic membrane that contains the ossicles (malleus, incus and stapes). The inner ear is made up of the cochlea needed for hearing and the vestibular apparatus required for balance.",UBERON:0001690,ear,,"Sense organ in vertebrates that is specialized for the detection of sound, and the maintenance of balance. Includes the outer ear and middle ear, which collect and transmit sound waves; and the inner ear, which contains the organs of balance and (except in fish) hearing. Also includes the pinna, the visible part of the outer ear, present in some mammals."
C198975,UBERON Terminology,C12310,Ectocervix,"The portion of the cervix that extends into the vaginal vault, and is lined with stratified squamous epithelium.",UBERON:0012249,ectocervix,,The part of the cervix uteri that protrudes into the vagina and is lined with stratified squamous epithelium.
C198975,UBERON Terminology,C12309,Endocervix,The portion of the cervix which is lined by single columnar epithelium (mucosa).,UBERON:0000458,endocervix,,The region of the opening of the uterine cervix into the uterine cavity.
C198975,UBERON Terminology,C12704,Endocrine Gland,Ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions.,UBERON:0002368,endocrine gland,ductless gland || glandula endocrina,Endocrine glands are glands of the endocrine system that secrete their products directly into the circulatory system rather than through a duct.
C198975,UBERON Terminology,C12705,Endocrine System,"The body system that comprises the organs and glands that produce hormones that are secreted into the blood and control physiological functions that include reproduction, growth and development, metabolism, and stress responses.",UBERON:0000949,endocrine system,,Anatomical system that consists of the glands and parts of glands that produce endocrine secretions and help to integrate and control bodily metabolic activity.
C198975,UBERON Terminology,C12313,Endometrium,"The mucous membrane comprising the inner layer of the uterine wall; it consists of a simple columnar epithelium and a lamina propria that contains simple tubular uterine glands. The structure, thickness, and state of the endometrium undergo marked change with the menstrual cycle.",UBERON:0001295,endometrium,,The glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy.
C198975,UBERON Terminology,C12328,Epididymis,A crescent-like structure located in the upper and posterior surfaces of the testis. It consists of the efferent ductules and the duct of the epididymis. It facilitates the maturation of sperm that is produced in the testis.,UBERON:0001301,epididymis,,"The elongated structure connected to the posterior surface of the testis that transports, stores, and matures spermatozoa between testis and vas deferens."
C198975,UBERON Terminology,C41449,Epidural Spinal Space,Space between the dura mater and the walls of the vertebral canal.,UBERON:0003691,epidural space,cavum epidurale || cavum extradurale || extradural space || spatium epidurale || spatium extradurale,The outermost part of the spinal canal. It is the space within the canal (formed by the surrounding vertebrae) lying outside the dura mater.
C198975,UBERON Terminology,C32668,Gastroesophageal Junction,The anatomical location where the esophagus joins to the stomach.,UBERON:0007650,esophagogastric junction,cardioesophageal junction || gastroesophageal junction,The junction between the esophagus and the stomach epithelium.
C198975,UBERON Terminology,C12389,Esophagus,"The portion of the digestive canal between the pharynx and stomach. It is about 25 cm long and consists of three parts: the cervical part, from the cricoid cartilage to the thoracic inlet; thoracic part, from thoracic inlet to the diaphragm; and abdominal part, below the diaphragm to the cardiac opening of the stomach.",UBERON:0001043,esophagus,gullet,"Tube that connects the pharynx to the stomach. In mammals, the esophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinized epithelium lining the buccal cavity is continued through the pharynx down into the esophagus. The lowest part of the esophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the esophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the esophagus enters the stomach to prevent gastro-esophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the esophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993)."
C198975,UBERON Terminology,C32538,Esophageal Mucosa,"The lining of the esophagus. It is composed of non-keratinized stratified squamous epithelium, lamina propria, and muscularis mucosa.",UBERON:0002469,esophagus mucosa,esophageal mucosa || esophageal mucous membrane || esophagus mucosa || esophagus mucous membrane || lamina muscularis mucosae esophageae || mucosa of esophagus || mucous membrane of esophagus || tunica mucosa esophageae || tunica mucosa esophagi,A mucosa that is part of a esophagus.
C198975,UBERON Terminology,C12498,External Acoustic Meatus,A part of the ear canal that is external to the ear drum.,UBERON:0001352,external acoustic meatus,auditory canal || ear canal || external acoustic tube || external auditory canal || external auditory tube,A tube running from the outer ear to the middle ear. The human ear canal extends from the pinna to the eardrum and is about 26 mm in length and 7 mm in diameter.
C198975,UBERON Terminology,C88143,External Iliac Lymph Node,A lymph node located along the external iliac artery.,UBERON:0015880,external iliac lymph node,external iliac node,"The external iliac lymph nodes, from eight to ten in number, lie along the external iliac vessels. They are arranged in three groups, one on the lateral, another on the medial, and a third on the anterior aspect of the vessels; the third group is, however, sometimes absent. Their principal afferents are derived from the inguinal lymph nodes, the deep lymphatics of the abdominal wall below the umbilicus and of the adductor region of the thigh, and the lymphatics from the glans penis vel clitoridis, the membranous urethra, the prostate, the fundus of the urinary bladder, the cervix uteri, and upper part of the vagina."
C198975,UBERON Terminology,C32573,Extrahepatic Bile Duct,The portion of the biliary tract outside the liver; the common hepatic duct joins the cystic duct to form the common bile duct.,UBERON:0003703,extrahepatic bile duct,,Passages external to the liver for the conveyance of bile. These include the common bile duct and the common hepatic duct.
C198975,UBERON Terminology,C12401,Eye,The organ of sight or vision.,UBERON:0000970,eye,,An organ that detects light.
C198975,UBERON Terminology,C32575,Eyebrow,The arched strip of hair on the bony ridge above each eye socket.,UBERON:0010163,eyebrow,,"The eyebrow is an area of thick, delicate hairs above the eye that follows the shape of the lower margin of the brow ridges. Their main function is to protect the eye, but they are also important to human communication and facial expression. It is not uncommon for people to modify their eyebrows by means of hair addition or removal, make up, or piercings."
C198975,UBERON Terminology,C12713,Eyelid,A thin membrane of skin with the purpose of covering and protecting an eye.,UBERON:0001711,eyelid,,"A fold of skin that covers and protects part of the eyeball. Examples: upper eyelid, lower eyelid, nictitating membrane."
C198975,UBERON Terminology,C12403,Fallopian Tube,One of a pair of tubes that extend from the uterus to each of the ovaries. Following ovulation the egg travels down the fallopian tube to the uterus where fertilization may or may not occur.,UBERON:0003889,fallopian tube,mammalian oviduct || uterine tube,Initial section of the oviduct through which the ova pass from the ovary to the uterus.
C198975,UBERON Terminology,C12402,Female Reproductive System,"The collection of organs and tissues, including the ovaries, genital tract, and breasts, that have several functions, including sexual maturation, pregnancy, and childbirth.",UBERON:0000474,female reproductive system,,The organs and associated structures associated with bearing offspring in a female animal.
C198975,UBERON Terminology,C12715,Femoral Artery,An artery that starts within the inguinal region and extends to the lower extremities.,UBERON:0002060,femoral artery,,The femoral artery is a large artery in the muscles of the thigh. It is a continuation of external iliac artery where it enters the femoral triangle at the mid inguinal point behind the inguinal ligament. It leaves femoral triangle through apex beneath the sartorius muscle. It enters the popliteal fossa by passing through the 5th osseo-aponeurotic (adductor hiatus) opening of adductor magnus where it becomes the Popliteal Artery.
C198975,UBERON Terminology,C12716,Femoral Vein,A vein that starts within the inguinal region and extends to the lower extremities.,UBERON:0001361,femoral vein,,"In the human body, the femoral vein is a blood vessel that accompanies the femoral artery in the femoral sheath. It begins at the adductor canal (also known as Hunter's canal) and is a continuation of the popliteal vein. It ends at the inferior margin of the inguinal ligament, where it becomes the external iliac vein."
C198975,UBERON Terminology,C12717,Femur,The upper leg bone positioned between the pelvis and the knee.,UBERON:0000981,femur,thigh bone,Endochondral long bone connecting the pelvic girdle with posterior zeugopodium skeleton.
C198975,UBERON Terminology,C12718,Fibula,"The small, lateral calf bone extending from the knee to the ankle.",UBERON:0001446,fibula,,The major postaxial endochondral bone in the posterior zeugopod.
C198975,UBERON Terminology,C89803,Forehead,The part of the face between the eyebrows and the normal hairline.,UBERON:0008200,forehead,,"In human anatomy, the forehead is the fore part of the head. It is, formally, an area of the head bounded by three features, two of the skull and one of the scalp. The top of the forehead is marked by the hairline, the edge of the area where hair on the scalp grows. The bottom of the forehead is marked by the supraorbital ridge, the bone feature of the skull above the eyes. The two sides of the forehead are marked by the temporal ridge, a bone feature that links the supraorbital ridge to the coronal suture line and beyond."
C198975,UBERON Terminology,C164048,Skin of the Upper Extremity,The integumentary covering of the upper extremities.,UBERON:0003531,forelimb skin,,A zone of skin that is part of a forelimb [Automatically generated definition].
C198975,UBERON Terminology,C177766,Frontal Lobe Cortex,"The grey matter, or outermost layer of the frontal lobe.",UBERON:0001870,frontal cortex,cortex of frontal lobe || frontal lobe cortex || gray matter of frontal lobe,"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally."
C198975,UBERON Terminology,C12352,Frontal Lobe,The part of the brain located anterior to the parietal lobes at the front of each cerebral hemisphere.,UBERON:0016525,frontal lobe,lobi frontales || lobus frontalis,Frontal lobe is the anterior-most of five lobes of the cerebral hemisphere. It is bounded by the central sulcus on its posterior border and by the longitudinal cerebral fissure on its medial border.
C198975,UBERON Terminology,C12257,Fundus of the Stomach,The portion of the stomach that lies above the cardiac notch. It allows for the accumulation of gases produced by chemical digestion.,UBERON:0001160,fundus of stomach,fundus gastricus (ventricularis) || gastric fundus || stomach fundus,"The fundus is the portion of the stomach that lies above the cardiac notch, and contains the fundic glands."
C198975,UBERON Terminology,C48939,Bladder Fundus,The portion of the bladder that is formed by the posterior wall and is located opposite to the bladder opening.,UBERON:0006082,fundus of urinary bladder,,The base or posterior surface of the urinary bladder contains the trigone of the bladder and the outlet where urine empties through the internal urethral orifice.
C198975,UBERON Terminology,C33508,Sacrum,"The triangular bone, made up of 5 fused bones of the spine, located in the lower area of the spine between the fifth lumbar vertebra and the coccyx.",UBERON:0005473,fused sacrum,os sacrum [vertebrae sacrales I - V] || sacrum || sacrum [sacral vertebrae I - V] || sacrum [sacral vertebrae I-V],A collection of sacral vertebrae in the sacral region that are fused and part of the bony pelvis.
C198975,UBERON Terminology,C12377,Gallbladder,A pear-shaped organ located under the liver that stores and concentrates bile secreted by the liver. From the gallbladder the bile is delivered through the bile ducts into the intestine thereby aiding the digestion of fat-containing foods.,UBERON:0002110,gallbladder,cholecyst || gall bladder,An organ that aids digestion and stores bile produced by the liver.
C198975,UBERON Terminology,C12719,Ganglion,A cluster of nervous tissue principally composed of neuronal cell bodies external to the central nervous system (CNS).,UBERON:0000045,ganglion,,"A biological tissue mass, most commonly a mass of nerve cell bodies."
C198975,UBERON Terminology,C12810,Genitourinary System,The body system that includes all organs involved in reproduction and in the formation and voidance of urine.,UBERON:0004122,genitourinary system,,Anatomical system that has as its parts the organs concerned with the production and excretion of urine and those concerned with reproduction.
C198975,UBERON Terminology,C32677,Gingiva,The soft tissue surrounding the neck of individual teeth as well as covering the alveolar bone. The tissue is fibrous and continuous with the periodontal ligament and mucosal covering.,UBERON:0001828,gingiva,gum || gum tissue || gums,"The fibrous investing tissue, covered by keratinized epithelium, that immediately surrounds a tooth and is contiguous with its periodontal ligament and with the mucosal tissues of the mouth."
C198975,UBERON Terminology,C54204,Lower Gingiva,The gingiva covering the mandibular alveolar bone.,UBERON:0011602,gingiva of lower jaw,,A gingiva that is part of a lower jaw region.
C198975,UBERON Terminology,C54205,Upper Gingiva,The gingiva covering the maxillary alveolar bone.,UBERON:0011601,gingiva of upper jaw,,A gingiva that is part of a upper jaw region.
C198975,UBERON Terminology,C12724,Glottis,The space in which the vocal cords are located.,UBERON:0002486,glottis,,"The vocal apparatus of the larynx, which includes the vocal cords and the opening between them."
C198975,UBERON Terminology,C12230,Hard Palate,The bony anterior part of the roof of the mouth separating the nose from the mouth.,UBERON:0003216,hard palate,palatum durum,"Anterior portion of the palate consisting of bone and mucous membranes [GO]. The hard palate is formed from bony processes of the maxilla, premaxilla and palatine bone."
C198975,UBERON Terminology,C12419,Head,"The anterior and superior part of a human bearing the mouth, the brain and sensory organs.",UBERON:0000033,head,,The head is the anterior-most division of the body [GO].
C198975,UBERON Terminology,C12269,Head of the Pancreas,That portion of the pancreas lying in the concavity of the duodenum.,UBERON:0001069,head of pancreas,,"The head of pancreas is a portion of the pancreas that is lodged within the curve of the duodenum, and is flattened anteriorly (from before). The other parts of the pancreas are the body and the tail. Its upper border is overlapped by the superior part of the duodenum and its lower overlaps the horizontal part; its right and left borders overlap in front, and insinuate themselves behind, the descending and ascending parts of the duodenum respectively. [WP,unvetted]."
C198975,UBERON Terminology,C12727,Heart,A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).,UBERON:0000948,heart,chambered heart || vertebrate heart,A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.
C198975,UBERON Terminology,C12909,Hematopoietic System,"The bodily system of organs and tissues, primarily the bone marrow, spleen, tonsils, and lymph nodes, involved in the production of blood.",UBERON:0002390,hematopoietic system,,Anatomical system that is involved in the production of hematopoietic cells.
C198975,UBERON Terminology,C32730,Hepatic Duct,"Any of the three ducts associated with the liver including the right hepatic duct, left hepatic duct and common hepatic duct.",UBERON:0005171,hepatic duct,,"Any portion of the ducts that carry bile from the liver to the common bile duct. This may include both intrahepatic components (parts of left and right hepatic ducts) and extrahepatic components (common hepatic duct, plus hilar portion)."
C198975,UBERON Terminology,C12266,Hepatic Flexure,The bend of the colon at the juncture of its ascending and transverse portions.,UBERON:0022277,hepatic flexure of colon,flexura coli heaptica || hepatic flexure || hepatic flexure of colon || right colic flexure,"Hepatic (or the right colic) flexure is the sharp bend between the ascending and the transverse colon. The right colic flexure is adjacent to the liver, and is therefore also known as the hepatic flexure. Thus, the left colic flexure is also known as the splenic flexure (as it is close to the spleen). The hepatic flexure lies in the right upper quadrant of the abdomen in humans."
C198975,UBERON Terminology,C32736,Hepatic Vein,The blood vessels that drain blood from the central veins of the liver into the inferior vena cava.,UBERON:0001143,hepatic vein,liver vein || vein of liver || vena hepatica,Vein that carries blood away from the liver.
C198975,UBERON Terminology,C13011,Ampulla of Vater,"The junction of the common bile and main pancreatic ducts, which protrudes into the medial aspect of the descending duodenum at the major duodenal papilla. The flow of bile and pancreatic juices into the duodenum through the Ampulla of Vater is controlled by the sphincter of Oddi.",UBERON:0004913,hepatopancreatic ampulla,Vater's ampulla || ampulla biliaropancreatica || ampulla of Vater || ampulla of bile duct || biliaropancreatic ampulla || papilla Vateri,A dilation of the duodenal papilla that is the opening of the juncture of the common bile duct and the main pancreatic duct.
C198975,UBERON Terminology,C164047,Skin of the Lower Extremity,The integumentary covering of the lower extremities.,UBERON:0003532,hindlimb skin,,A zone of skin that is part of a hindlimb [Automatically generated definition].
C198975,UBERON Terminology,C33763,Thigh,"A part of the lower limb, located between hip and knee.",UBERON:0000376,hindlimb stylopod,hind limb stylopod || hind limb stylopodium || hind propodium || hindlimb propodium || hindlimb stylopod || hindlimb stylopodium || proximal segment of free lower limb || stylopod of hind limb || stylopod of hindlimb || stylopod of lower limb || thigh || upper leg,"The part of the hindlimb between pelvis and the knee, corresponding to the femur."
C198975,UBERON Terminology,C64193,Hip,The lateral prominence of the pelvis from the waist to the thigh.,UBERON:0001464,hip,hip region || regio coxae,"The hip region is located lateral to the gluteal region (i.e. the buttock), inferior to the iliac crest, and overlying the greater trochanter of the thigh bone. In adults, three of the bones of the pelvis have fused into the hip bone which forms part of the hip region. The hip joint, scientifically referred to as the acetabulofemoral joint (art. coxae), is the joint between the femur and acetabulum of the pelvis and its primary function is to support the weight of the body in both static (e.g. standing) and dynamic (e.g. walking or running) postures."
C198975,UBERON Terminology,C12731,Humerus,The upper arm bone between the shoulder and elbow.,UBERON:0000976,humerus,humeri || humerus bone,Paired endochondral long bone that extends between the pectoral girdle and the skeletal parts of the forelimb.
C198975,UBERON Terminology,C33645,Subcutis,Adipose tissue located under the dermis. It binds underlying structures with the skin. The subcutis is important in the regulation of temperature of the skin itself and the body. The size of this layer varies throughout the body and from person to person.,UBERON:0002072,hypodermis,,"Lowermost layer of the integumentary system in vertebrates. Types of cells that are found in the hypodermis are fibroblasts, adipose cells, and macrophages. It is derived from the mesoderm, but unlike the dermis, it is not derived from the dermatome region of the mesoderm. The hypodermis is used mainly for fat storage[WP]."
C198975,UBERON Terminology,C12246,Hypopharynx,The lower part of the pharynx that connects to the esophagus.,UBERON:0001051,hypopharynx,laryngeal pharynx || laryngopharynx,Bottom part of the pharynx that connects to the esophagus.
C198975,UBERON Terminology,C12458,Hypothalamus,"A small, cone shaped collection of nuclei in the brain that is located below the thalamus and forms the lower side wall and floor of the third ventricle. It regulates homeostasis, the sleep-wake cycle, and metabolism, and plays a role in autonomic, endocrine, and motor function control.",UBERON:0001898,hypothalamus,,A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei. [ZFA]. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis).[Wikipedia].
C198975,UBERON Terminology,C12387,Ileum,The final section of the small intestine.,UBERON:0002116,ileum,,The portion of the small intestine that extends from the jejunum to the colon.
C198975,UBERON Terminology,C32765,Ilium,"The broad, dorsal, upper, and widest of the three principal bones composing either half of the pelvis.",UBERON:0001273,ilium,iliac bone || ilium bone || os iliacum || os ilii || os ilium,"Paired endochondral bone that is the dorsal-most of the pelvic bones, offering attachment areas for gluteal muscles on its main surface."
C198975,UBERON Terminology,C63705,Infraclavicular Lymph Node,A lymph node located in the area below the clavicle.,UBERON:0035162,infraclavicular lymph node,deltopectoral lymph node || deltopectoral node || infraclavicular node || nodus lymphaticus infraclavicularis axillae,A lymph node located in the area below the clavicle.
C198975,UBERON Terminology,C32801,Inguinal Lymph Node,A superficial or deep lymph node located in the inguinal area.,UBERON:0001542,inguinal lymph node,,The lymph nodes located in the groin area.
C198975,UBERON Terminology,C12726,Inguinal Region,The lower region of the anterior abdominal wall located laterally to the pubic region.,UBERON:0008337,inguinal part of abdomen,groin || groin area || groin region || iliac region || inguen || inguinal region,The external junctural region between the lower part of the abdomen and the thigh.
C198975,UBERON Terminology,C95443,Internal Auditory Canal,A canal in the petrous region of the temporal bone that serves as the passage for cranial nerves (mainly the VII and VIII cranial nerves) towards the middle and inner ear.,UBERON:0011859,internal acoustic meatus,,"The internal auditory meatus (also internal acoustic meatus, internal auditory canal, and internal acoustic canal) is a canal in the petrous bone of the temporal bone of the skull that carries nerves from inside the cranium towards the middle and inner ear compartments namely cranial nerve VII and cranial nerve VIII."
C198975,UBERON Terminology,C12736,Intestine,The portion of the gastrointestinal tract between the stomach and the anus. It includes the small intestine and large intestine.,UBERON:0000160,intestine,,"Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine."
C198975,UBERON Terminology,C12677,Intrahepatic Bile Duct,"The bile ducts which are located within the liver. They include the small interlobular bile ducts, intrahepatic large bile ducts, and the intrahepatic portions of the left and right hepatic ducts.",UBERON:0003704,intrahepatic bile duct,,Passages within the liver for the conveyance of bile. Includes right and left hepatic ducts even though these may join outside the liver to form the common hepatic duct.
C198975,UBERON Terminology,C32884,Ischium,The most posterior and ventral bone making up the pelvis.,UBERON:0001274,ischium,ischial bone || ischium bone,"Endochondral bone that is paired, forming the posterior part of the pelvis, articulating with the pubis and ilium."
C198975,UBERON Terminology,C48821,Jaw Bone,The bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth.,UBERON:0001708,jaw skeleton,jaw || mandibular arch skeleton,Subdivision of skeleton which includes upper and lower jaw skeletons.
C198975,UBERON Terminology,C12388,Jejunum,The portion of the small intestine that extends from the duodenum to the ileum.,UBERON:0002115,jejunum,,The portion of the small intestine that extends from the duodenum to the ileum.
C198975,UBERON Terminology,C12415,Kidney,"One of the two bean-shaped organs located on each side of the spine in the retroperitoneum. The right kidney is located below the liver and the left kidney below the diaphragm. The kidneys filter and secrete metabolic products and minerals from the blood, thus maintaining homeostasis. On the superior pole of each kidney there is an adrenal gland. Each kidney and adrenal gland is surrounded by fat.",UBERON:0002113,kidney,,A paired organ of the urinary tract which has the production of urine as its primary function.
C198975,UBERON Terminology,C32898,Knee Joint,"A joint connecting the lower part of the femur with the upper part of the tibia. The lower part of the femur and the upper part of the tibia are attached to each other by ligaments. Other structures of the knee joint include the upper part of the fibula, located below and parallel to the tibia, and the patella which moves as the knee bends.",UBERON:0001465,knee,knee region,A segment of the hindlimb that corresponds to the joint connecting a hindlimb stylopod and zeugopod.
C198975,UBERON Terminology,C12346,Lacrimal Gland,"Paired, almond-shaped exocrine glands situated superior and posterior to each orbit of the eye that produce and secrete the watery serous component of tears.",UBERON:0001817,lacrimal gland,glandula lacrimalis || lacrimal-preorbital gland,"The lacrimal glands are paired almond-shaped glands, located in or near the orbital region, that secrete the aqueous layer of the tear film."
C198975,UBERON Terminology,C12379,Large Intestine,A muscular tube that extends from the end of the small intestine to the anus.,UBERON:0000059,large intestine,,A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi.
C198975,UBERON Terminology,C12420,Larynx,The cartilaginous structure of the respiratory tract between the pharynx and the trachea. It contains elastic vocal cords required for sound production.,UBERON:0001737,larynx,,"A continuation of the pharynx that is involved in breathing, sound production, and protecting the trachea against food aspiration."
C198975,UBERON Terminology,C12244,Lateral Wall of the Nasopharynx,The aspect of the nasopharyngeal wall that is located on the side.  It contains the pharyngeal opening of the auditory tube.,UBERON:0035383,lateral wall of nasopharynx,,
C198975,UBERON Terminology,C32974,Leg,The portion of the lower extremity between the knee and the ankle. For clinical purposes this term is also used to refer to the whole inferior limb.,UBERON:0000978,leg,tetrapod leg,The portion of the hindlimb that contains both the stylopod and zeugopod.
C198975,UBERON Terminology,C32979,Leptomeninges,"The two innermost layers of tissue that cover the brain and spinal cord, the arachnoid mater and the pia mater.",UBERON:0000391,leptomeninx,leptomeninges,Pia mater or arachnoid mater.
C198975,UBERON Terminology,C12261,Lesser Curvature of the Stomach,The right border of the stomach.  It is concave in shape and extends from the cardiac orifice to the pyloric orifice.,UBERON:0001163,lesser curvature of stomach,,"The lesser curvature of the stomach, extending between the cardiac and pyloric orifices, forms the right or posterior border of the stomach. It descends as a continuation of the right margin of the esophagus in front of the fibers of the right crus of the diaphragm, and then, turning to the right, it crosses the first lumbar vertebra and ends at the pylorus. Nearer its pyloric than its cardiac end is a well-marked notch, the incisura angularis, which varies somewhat in position with the state of distension of the viscus; it serves to separate the stomach into a right and a left portion. The lesser curvature gives attachment to the two layers of the hepatogastric ligament, and between these two layers are the left gastric artery and the right gastric branch of the hepatic artery. [WP,unvetted]."
C198975,UBERON Terminology,C13046,Ligament,Band of fibrous tissue connecting bone to bone or cartilage to bone thereby supporting or strengthening a joint.,UBERON:0000211,ligament,ligament organ,Dense regular connective tissue connecting two or more adjacent skeletal elements or supporting an organ.
C198975,UBERON Terminology,C12429,Limb,A body region referring to an upper or lower extremity.,UBERON:0002101,limb,free limb || pentadactyl limb || tetrapod limb,"A paired appendage that is evolved from a paired fin. The extent of this structure includes autopod, stylopod and zeugopod regions when present, but excludes the girdle and its parts."
C198975,UBERON Terminology,C12220,Lip,Fleshy fold which surrounds the opening of the mouth.,UBERON:0001833,lip,,One of the two fleshy folds which surround the opening of the mouth.
C198975,UBERON Terminology,C12392,Liver,"A triangular-shaped organ located under the diaphragm in the right hypochondrium. It is the largest internal organ of the body, weighting up to 2 kg. Metabolism and bile secretion are its main functions. It is composed of cells which have the ability to regenerate.",UBERON:0002107,liver,,"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes."
C198975,UBERON Terminology,C12255,Lower Third of the Esophagus,The lower one third of the esophagus in which the muscle layer is composed of muscle cells predominantly of the smooth type.,UBERON:0013473,lower esophagus,,The lower one third of the esophagus in which the muscle layer is composed of muscle cells predominantly of the smooth type.
C198975,UBERON Terminology,C12302,Lower-Inner Quadrant of the Breast,The quarter of the breast which is inferior and medial.,UBERON:0035477,lower inner quadrant of breast,,The quarter of the breast which is inferior and medial.
C198975,UBERON Terminology,C33020,Lower Lobe of the Left Lung,"The larger lobe of the left lung, situated below and behind the oblique fissure.",UBERON:0008953,lower lobe of left lung,,A lower lobe of lung that is part of a left lung.
C198975,UBERON Terminology,C12287,Lower Lobe of the Lung,The bottom most subdivision of either the right or left lung.,UBERON:0008949,lower lobe of lung,,The bottom most subdivision of either the right or left lung.
C198975,UBERON Terminology,C12304,Lower-Outer Quadrant of the Breast,The quarter of the breast which is inferior and lateral.,UBERON:0035365,lower outer quadrant of breast,,The quarter of the breast which is inferior and lateral.
C198975,UBERON Terminology,C69314,Lumbar Spine,"Those vertebrae between the ribs and the pelvis, L1-L5 in man.",UBERON:0006074,lumbar region of vertebral column,,"Subdivision of vertebral column that corresponds to the lumbar subdivision of the body, containing the lumbar vertebrae."
C198975,UBERON Terminology,C12895,Lumbar Spinal Cord,The portion of the spinal cord located in the lumbar region.,UBERON:0002792,lumbar spinal cord,,
C198975,UBERON Terminology,C12468,Lung,"One of a pair of viscera occupying the pulmonary cavities of the thorax, the organs of respiration in which aeration of the blood takes place. As a rule, the right lung is slightly larger than the left and is divided into three lobes (an upper, a middle, and a lower or basal), while the left has two lobes (an upper and a lower or basal). Each lung is irregularly conical in shape, presenting a blunt upper extremity (the apex), a concave base following the curve of the diaphragm, an outer convex surface (costal surface), an inner or mediastinal surface (mediastinal surface), a thin and sharp anterior border, and a thick and rounded posterior border.",UBERON:0002048,lung,pulmo,Respiration organ that develops as an outpocketing of the esophagus.
C198975,UBERON Terminology,C12745,Lymph Node,A bean-shaped organ surrounded by a connective tissue capsule. It is part of the lymphatic system and is found throughout the body. It is composed predominantly of lymphocytes and its main function is immune protection.,UBERON:0000029,lymph node,,"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
C198975,UBERON Terminology,C12284,Main Bronchus,One of two major branches of the trachea. Bifurcation of the trachea at the carina forms the left main bronchus and the right main bronchus.,UBERON:0002182,main bronchus,,One of two branches of the trachea.
C198975,UBERON Terminology,C12999,Major Salivary Gland,"One of the three larger salivary glands including the parotid, submandibular and sublingual glands.",UBERON:0001829,major salivary gland,,"One of the three largest glands of the oral cavity that secrete most of the saliva, including the parotid, submandibular, and sublingual glands."
C198975,UBERON Terminology,C12408,Vulva,"The external, visible part of the female genitalia surrounding the urethral and vaginal opening. The vulva includes the clitoris and inner as well as outer labia.",UBERON:0000997,mammalian vulva,female pudendum || mammalian vulva || puboperineal region || pudendum femininum || vulva,External genital organs of the female mammal.
C198975,UBERON Terminology,C12367,Mammary Gland,"In humans, the glands of the breast, consisting of fibrous tissue connecting the lobes and fatty tissue in between the lobes.",UBERON:0001911,mammary gland,,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males."
C198975,UBERON Terminology,C12290,Mandible,The lower jaw bone holding the lower teeth.,UBERON:0001684,mandible,inferior maxillary bone || mammaliam mandible || mandibulla,A dentary bone that is the only bone in one of the lateral halves of the lower jaw skeleton.
